Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"HIP10031","2 9 9.30 ","71 33 3 ","6.57","F8","27.3",""
"HIP10072","2 9 36.7 ","-14 21 38 ","11.7","","19.8",""
"HIP10279","2 12 19.0 ","3 34 2 ","10.0","M3V:","10.3","04/09/2016"
"HIP10306","2 12 48.2 ","21 12 39 ","5.23","F5V","30.1","04/09/2016"
"HIP10321","2 12 55.0 ","40 40 4 ","7.19","G0","26.2",""
"HIP10339","2 13 13.4 ","40 30 25 ","7.35","G0","25.5",""
"HIP10416","2 14 13.5 ","-3 38 10 ","8.55","K2","22.8","05/17/2016"
"HIP10505","2 15 24.9 ","24 16 13 ","6.80","G8IV","26.4",""
"HIP10542","2 15 46.0 ","-18 14 19 ","7.94","K3V","22.2",""
"HIP10644","2 17 4.73 ","34 13 23 ","4.84","G0V","10.8","06/02/2016"
"HIP10670","2 17 18.9 ","33 50 49 ","4.03","A1Vnn","36.0","06/02/2016"
"HIP10723","2 18 1.83 ","1 45 34 ","5.60","G0.5IV","24.9",""
"HIP11000","2 21 44.7 ","-6 52 45 ","9.07","K0","26.7","06/05/2016"
"HIP11029","2 22 1.69 ","-10 46 40 ","5.43","F0V","29.8","06/05/2016"
"HIP11048","2 22 14.9 ","47 52 48 ","9.40","M2","11.9","01/16/2016"
"HIP11090","2 22 50.1 ","41 23 45 ","5.81","F0III-IV","47.2","01/16/2016"
"HIP11349","2 26 2.13 ","5 46 48 ","7.94","G5","27.8",""
"HIP11360","2 26 16.3 ","6 17 32 ","6.79","F2","44.7",""
"HIP11427","2 27 23.0 ","10 11 50 ","6.45","F5V","36.3",""
"HIP11452","2 27 45.9 ","4 25 59 ","8.69","K7V:","16.6","03/26/2016"
"HIP11542","2 28 47.0 ","32 15 35 ","9.57","M0p","25.8",""
"HIP11565","2 29 2.39 ","-19 58 41 ","8.78","K4V","18.9",""
"HIP11569","2 29 3.86 ","67 24 9 ","4.46","A5p Sr","43.4","05/03/2016"
"HIP11759","2 31 42.3 ","-15 16 26 ","8.67","K2V","26.1",""
"HIP11783","2 32 5.14 ","-15 14 43 ","4.74","F5V","25.8","03/26/2016"
"HIP11843","2 32 54.1 ","15 2 5 ","6.00","F8V","28.7",""
"HIP12097","2 35 53.5 ","20 13 9 ","10.6","M2","13.9","03/25/2016"
"HIP12114","2 36 6.85 ","6 53 36 ","5.79","K3V","7.20","03/25/2016"
"HIP12158","2 36 42.1 ","-3 9 21 ","8.10","K0","24.3","05/17/2016"
"HIP12390","2 39 34.0 ","-11 52 23 ","4.83","F5V","27.0","05/17/2016"
"HIP12444","2 40 12.2 ","-9 27 11 ","5.79","F6V","21.5","03/25/2016"
"HIP12447","2 40 15.7 ","6 6 42 ","6.26","F3V:","39.6","03/25/2016"
"HIP12493","2 40 43.1 ","1 11 58 ","9.51","M0","22.3","06/05/2016"
"HIP12530","2 41 14.2 ","-0 41 46 ","5.72","F7IV","21.6","06/05/2016"
"HIP12706","2 43 17.8 ","3 14 6 ","3.47","A3V","25.1","03/25/2016"
"HIP12709","2 43 21.4 ","19 25 45 ","8.23","K5","18.5","03/29/2016"
"HIP12777","2 44 12.5 ","49 13 40 ","4.10","F7V","11.2","05/03/2016"
"HIP12781","2 44 16.5 ","25 31 18 ","10.5","M3.5Ve","7.55","03/26/2016"
"HIP12828","2 44 56.8 ","10 6 50 ","4.27","F1III-IV","25.8","03/29/2016"
"HIP12832","2 44 57.7 ","12 26 43 ","5.17","A7III-IV","38.2","03/26/2016"
"HIP12843","2 45 6.55 ","-18 34 20 ","4.47","F5/F6V","13.9",""
"HIP12926","2 46 15.4 ","25 38 57 ","7.89","K1IV","25.6",""
"HIP12929","2 46 17.5 ","11 46 27 ","8.59","K5","15.9","03/29/2016"
"HIP13081","2 48 9.46 ","27 4 5 ","7.56","K1V","22.3","06/05/2016"
"HIP13118","2 48 43.9 ","31 6 51 ","6.94","K0","43.9",""
"HIP13169","2 49 20.2 ","53 1 19 ","8.29","K0","28.4",""
"HIP13258","2 50 37.2 ","15 42 29 ","8.87","K5","22.4","03/29/2016"
"HIP13342","2 51 42.7 ","10 38 39 ","10.0","M0","27.6",""
"HIP13345","2 51 44.4 ","-8 16 9 ","9.82","K7V","30.2",""
"HIP13375","2 52 8.43 ","34 23 5 ","9.60","K6:","14.2","06/05/2016"
"HIP13402","2 52 32.5 ","-12 46 14 ","6.05","K1V","10.3","06/05/2016"
